merk,price,location,buy
"LAPTOP ASUS A416EAO i3-1115 - 4GB - 512GB - 14"" - WIN 10 - OHS",6.735.000,KOTA CIREBON,
"ASUS A416EAO-VIPS353 i3 1115G4 4GB 512GB UMA PCIe 14"" FHD IPS W11 OHS21",6.479.000,KOTA JAKARTA UTARA,1 Terjual
"LAPTOP ASUS A416EPO I5-1135 - 8GB - 512GB - MX 330 2GB - 14"" - WIN 10",10.600.000,KOTA CIREBON,
KEYBOARD ASUS VIVOBOOK A412 A409 X409 X409FB S14 S430 A430 ON/OFF HITAM,175,KOTA JAKARTA BARAT,
Macbook Air 13 2012 A1466 Core i5 Ram 4GB SSD 128GB mac6,4.450.000,KOTA JAKARTA PUSAT,
ASUS VIVOBOOK PRO 14 M7400QE OLED554 RYZEN 5 5600H 16GB 512SSD RTX3050TI 4GB W11+OHS 14.0 2.8K OLED SLV,15.809.000,KOTA JAKARTA UTARA,7 Terjual
"LAPTOP ASUS VIVOBOOK E410MA N4020 4GB 320GB SSD WINDOWS 10 14""",3.899.000,KOTA JAKARTA TIMUR,1 Terjual
LAPTOP GAMING MURAH ASUS VIVOBOOK X512DA RYZEN 7 3700U 16GB RAM 1TB SSD 15.6 FHD WINDOWS 10,9.299.000,KOTA TANGERANG SELATAN,
Laptop Asus VivoBook M413DA-EK353TS AMD Ryzen 3 8GB SSD 512 Bluee,7.899.000,KOTA JAKARTA BARAT,
Asus Vivobook E410KAO-HD422 White | Intel Celeron SSD - OHS 2021,5.849.000,KOTA SURAKARTA (SOLO),
"Asus vivobook A412FA-EK54012T Pentium 5405U 4GB/1TB 14"" FHD W10-Grey",6.499.000,KOTA JAKARTA PUSAT,1 Terjual
LAPTOP ASUS VIVOBOOK F415EA-UB51 INTEL CORE I5 1135G7 8GB DDR4 256GB M.2 SSD NVME INTEL IRIS XE GRAPHICS 14 INCH FHD CAMERA FINGERPRINT BACKLIT KEYBOARD WHITE WI-FI 5 BLUETOOTH 4.1 WIN10 SLATE GREY,9.350.000,KOTA BANJARMASIN,6 Terjual
LAPTOP ASUS VIVOBOOK R410MA-212.BK128 (INTEL CELERON N4020/4GB DDR4/128GB SSD/INTEL UHD GRAPHICS/14 INCH HD/CAMERA/WIN10+MICROSOFT 365/DISTRI) STAR BLACK4.900.000,4.900.000,KOTA BANJARMASIN,
"ASUS VIVOBOOK A509FA INTEL 4305U RAM8GB SSD512GB 15,6FHD WINDOWS 10 + OHS 2019 ORIGINAL",4.599.000,KOTA JAKARTA PUSAT,38 Terjual
"ASUS VivoBook 15 F512JA i3 1005G1 8GB 512GB SSD 15.6""FHD Windows10 Backlit Keyboard",5.999.000,KOTA JAKARTA SELATAN,3 Terjual
"LAPTOP ASUS VivoBook 14 A416MA - N4020 DDR4 4GB 256GB SSD 14"" INTEL HD W10 OHS",6.099.000,KOTA JAKARTA PUSAT,
ASUS VIVOBOOK A416JPO INTEL CORE i3 1005G1 RAM8GB SSD512GB 14FHD NVIDIA MX330 2GB WINDOWS 10 + OHS19,7.599.000,KOTA JAKARTA PUSAT,20 Terjual
ASUS VivoBook K413FA EK303TS Ci3 10110U 8GB 512GB SSD W10-RESMI ASUS,10.499.000,KOTA PONTIANAK,
LAPTOP ASUS VIVOBOOK X515JA INTEL CORE I3 1005G1 RAM 8GB 512SSD WINDOWS10 15.6,7.369.000,KOTA JAKARTA SELATAN,5 Terjual
"LAPTOP ASUS VivoBook 14 A416MA - N4020 DDR4 4GB HDD 1TB 14"" INTEL HD W10 OHS",5.999.000,KOTA JAKARTA PUSAT,
ASUS VIVOBOOK E410MAO INTEL N4020 SSD512GB RAM4GB 14FHD WINDOWS 10 + OHS 2019 ORIGINAL,4.949.000,KOTA JAKARTA PUSAT,47 Terjual
LAPTOP ASUS VIVOBOOK M415UA RYZEN 5 5500 16GB 512SSD W10 14.0FHD,8.499.000,KOTA JAKARTA UTARA,30 Terjual
"Laptop ASUS VivoBook E410MA INTEL Celeron N4020 4GB 512GB 14"" Windows10 Home",5.650.000,KOTA JAKARTA BARAT,1 Terjual
"LAPTOP ASUS VIVOBOOK 14 A416MA N4020 DDR4 4GB 256GB SSD 14"" FHD IPS W10 OHS KEYBOARD BACKLIT",6.499.000,KOTA JAKARTA PUSAT,
Laptop Gaming ASUS Vivobook S14 Core i5 gen 8 Ram 8gb Nvidia,5.900.000,KOTA JAKARTA TIMUR,
ASUS VIVOBOOK A516EAO INTEL CORE i3 1115G1 RAM8GB SSD512GB WINDOWS 11 DAN OFFICE ORIGINAL,6.399.000,KOTA JAKARTA PUSAT,271 Terjual
Asus Vivobook S14 A411UF Core i5-8250U Ram 8GB HDD 1TB Vga Nvidia MX130 2GB,5.500.000,KOTA BANDUNG,
"LAPTOP ASUS VIVOBOOK 14 A409MA-FHD421/FHD422 - N4020 DDR4 4GB 256GB SSD 14"" FHD INTEL UHD W10 OHS",6.199.000,KOTA JAKARTA PUSAT,
"ASUS VIVOBOOK M513UA - RYZEN 5-5500U - 8GB - 512GB SSD - BACKLIT KB - 15.6""FHD IPS OLED - WIN10 - OFFICE",10.849.000,KOTA JAKARTA BARAT,11 Terjual
